,OMA Sum rate,Architecture Sum rate,Baseline Sum rate,Fixed NOMA Sum rate,Fairness NOMA Sum rate,Fixed NOMA Pairs,NOMA Pairs,Baseline NOMA Pairs,Fairbess NOMA Pairs,Fixed NOMA Outage
0,286.8580135492515,415.13404835469527,416.21565251228793,317.6139610676986,209.7026046920668,0,13,14,25,10
1,251.00582487187222,414.83925297894683,415.0245229217275,380.4744872750313,234.8649858711887,0,11,12,25,6
2,288.31433478969507,439.8662239056217,447.2278359963658,360.255051777306,267.3129347301006,0,13,14,25,9
3,193.41360352645054,420.8748868892373,425.9170230731168,344.20565289362395,303.24692576141865,0,19,20,25,12
4,285.8611525126323,411.3268339805548,411.3268339805548,330.34023909353715,230.74401132753073,0,12,12,25,10
5,285.8611525126323,411.3268339805548,411.3268339805548,330.34023909353715,230.74401132753073,0,12,12,25,10
6,272.56356209616695,427.35827940365266,433.6011745432262,341.4216713294686,276.07075050577396,0,15,15,25,10
7,234.6250277258159,407.98299892516536,416.81471778184334,273.2746810887069,297.47365712792487,0,16,16,25,11
8,230.4611076349372,394.7100663810859,394.7100663810859,299.2447837121802,271.380534566402,0,14,14,25,8
9,197.69782273936158,361.6762905415957,361.6762905415957,256.1700496327022,274.8906129111426,0,15,15,25,11
10,278.2933201304955,393.0087993037753,393.55580788182994,330.71074223809103,182.1243444599308,0,14,14,25,9
11,305.27092546910336,427.0701525372774,427.0701525372774,328.5233524853015,214.7076653778685,0,13,13,25,11
12,305.27092546910336,427.0701525372774,427.0701525372774,328.5233524853015,214.7076653778685,0,13,13,25,11
13,237.13397857864103,375.83684346441953,377.60291211260073,277.64533435642795,264.12135072871274,0,13,14,25,11
14,216.88967842646434,415.36223279444795,419.76721460181824,285.55509535577517,333.26497492566,0,19,20,25,14
15,244.16102986429732,368.27631522341255,368.6991201449697,254.32778726805273,245.98407229011633,0,13,13,25,12
16,216.7779717038045,396.11068278618234,396.23438638425966,266.63238614500955,259.80096698183996,0,17,17,25,13
17,216.7779717038045,396.11068278618234,396.23438638425966,266.63238614500955,259.80096698183996,0,17,17,25,13
18,192.01080285301205,377.41938674073674,382.81641715202784,374.701955338865,258.55987420582073,0,18,18,25,10
19,313.12602114122365,437.61282256071297,437.61282256071297,349.8376311950064,225.82655534058563,0,13,13,25,11
20,313.12602114122365,437.61282256071297,437.61282256071297,349.8376311950064,225.82655534058563,0,13,13,25,11
21,236.42419249085637,425.7292024671397,425.7292024671397,322.8407751654205,289.8927761576076,0,17,17,25,13
22,204.4514950246313,395.84819095162754,396.3585516548783,232.19599402637496,287.1286762474864,0,18,17,25,13
23,236.29770824531514,399.972965615326,399.972965615326,244.7620274368106,250.78037359450352,0,14,14,25,11
24,198.54385038938364,370.9098946163079,370.9098946163079,233.51752909259417,305.3365118473188,0,19,19,25,13
25,198.54385038938364,370.9098946163079,370.9098946163079,233.51752909259417,305.3365118473188,0,19,19,25,13
26,268.85246081315387,374.4456893965576,374.4456893965576,375.6486252806177,184.8338169154298,0,12,12,25,8
27,227.2484128585637,365.7429049181354,367.2035210272941,400.1442014515467,242.38929269839468,0,13,14,25,6
28,231.13538528501815,398.79668582403565,400.6784914948611,336.8237719934321,221.13013141595636,0,15,15,25,9
29,265.8137028746477,433.49492624789946,433.7101220890903,343.948327609834,250.74197446095198,0,15,15,25,10
30,290.2610297339634,411.69093088417156,411.69093088417156,290.26102973396337,233.9589028721026,0,14,14,25,14
31,247.50753019617213,372.48407376400377,373.69316059643785,271.06313327919884,212.5071922525658,0,12,14,25,11
32,198.62679742157027,322.36036207880414,322.36036207880414,284.6909384097627,192.09943005888132,0,13,13,25,6
33,243.66703037208492,402.97882631441325,404.04298233443274,318.0955621159044,228.87703913407103,0,14,14,25,8
34,243.66703037208492,402.97882631441325,404.04298233443274,318.0955621159044,228.87703913407103,0,14,14,25,8
35,218.6608051642636,399.97225662754175,403.3258424254605,370.6323032760957,271.4569401423208,0,14,15,25,6
36,269.63925303282616,400.13011883794366,400.51668457431055,363.8332319105848,227.00925104671035,0,14,13,25,9
37,268.6170025584562,378.88085823015143,378.88085823015143,282.02708736814196,207.02515241211617,0,12,12,25,10
38,268.6170025584562,378.88085823015143,378.88085823015143,282.02708736814196,207.02515241211617,0,12,12,25,10
39,226.417245061976,421.01113717343867,430.7491425194255,279.75786590351714,324.37423733917757,0,16,18,25,15
40,261.55730790300044,438.4432258974088,442.2798530313512,363.4855994755071,313.0897804198907,0,14,15,25,10
41,234.9128276913067,427.9670451846651,429.0704058013289,311.69404836754,356.19396434440296,0,19,19,25,15
42,255.39888495901658,385.4370895815364,387.5622788359502,328.3346958722823,245.70092429852986,0,14,14,25,9
43,281.38225028447573,439.9627705568139,444.2192689338389,354.3062354013591,254.8291050543365,0,14,14,25,10
44,263.263888291125,370.20930359771944,370.20930359771944,265.8647522046457,159.08859239091603,0,11,11,25,10
45,276.379119177359,437.83877004816776,438.23615615577125,357.6993039039851,235.00651282214835,0,13,13,25,9
46,316.3064227397549,457.58805148716493,464.71662534731684,449.47986546638884,271.01923631697736,0,14,14,25,8
47,316.3064227397549,457.58805148716493,464.71662534731684,449.47986546638884,271.01923631697736,0,14,14,25,8
48,263.76062552395445,391.8863526475703,392.6686589575395,356.6749227038178,236.03409067801843,0,14,15,25,10
49,291.9844764955882,376.4367258719394,378.75940883315184,291.9844764955882,165.091532669701,0,11,11,25,11
50,279.97217264376513,399.7365988350706,399.7365988350706,366.5974597317168,178.21747666616778,0,12,12,25,7
51,279.97217264376513,399.7365988350706,399.7365988350706,366.5974597317168,178.21747666616778,0,12,12,25,7
52,279.97217264376513,399.7365988350706,399.7365988350706,366.5974597317168,178.21747666616778,0,12,12,25,7
