,OMA Sum rate,Architecture Sum rate,Baseline Sum rate,Fixed NOMA Sum rate,Fixed NOMA Pairs,NOMA Pairs,Baseline NOMA Pairs,Fixed NOMA Outage
0,209.76508490903836,384.0546689266024,384.3318390922569,345.2064227600339,6,18,18,12
1,278.58371738463586,457.5975290141764,462.0801864966751,278.58371738463586,0,17,17,17
2,313.0433850277599,456.8533740837831,472.7142312843367,328.9697919987144,3,13,17,14
3,265.1248937740208,448.0075956291656,450.9158721462195,320.93915661001364,3,16,15,12
4,241.7707896102386,450.81358467563905,452.5520924504028,298.7249642929064,4,17,18,14
5,314.01081422024015,512.6583050767747,517.0794499773167,373.89412382088517,3,14,14,11
6,280.90268900860104,456.3127623480956,457.2985236911358,331.0693642271943,3,15,14,11
7,274.5917902137015,442.76444792760395,453.89204387343574,393.0602551102753,6,16,17,11
8,249.17486582384697,423.25900506775235,429.7947885118165,433.03865515302687,10,17,18,8
9,294.8611000541241,422.55339466183966,423.4820282051604,327.0135535264121,2,13,14,12
10,295.708047919872,431.0330887710602,435.7887670152071,386.5874946803929,6,14,15,9
11,265.22914939362437,440.1270462668437,444.4526534731734,313.7483969507774,4,17,17,13
12,270.43985845941194,445.042231016483,445.95469453353525,333.6519010196906,3,16,16,13
13,265.68027472022374,382.1578981851138,382.1578981851138,351.63391427203345,3,13,13,10
14,258.97320108739376,458.0515559303393,459.0515559303393,363.56349577763,6,17,17,11
15,328.8849236192423,462.2897407910035,464.007327733349,405.1011560080131,3,13,13,10
16,294.95778312194864,469.7439702591292,472.23128518424215,330.57895128948644,1,16,17,16
17,339.1761656074291,483.8844039113585,484.7563885667936,409.49136764982273,3,13,13,10
18,291.93793037565257,486.5106966808461,490.9168775998496,390.40198693639945,5,16,16,11
19,233.27891507439955,437.2817963287593,456.2575889750248,426.9989896542232,10,18,19,9
20,314.4503685105168,489.25069401762215,494.11054747044795,399.9404297585536,3,15,15,12
21,256.79462637919994,442.0992411264079,443.2929773239273,404.92280393462136,7,16,15,8
22,240.85625584709197,464.1469273717845,466.5362788173076,290.5856311923073,4,17,16,12
23,302.31944450822533,474.00319560642015,482.6244752197962,345.11884775251315,4,16,17,13
