,OMA Sum rate,Architecture Sum rate,Baseline Sum rate,Fixed NOMA Sum rate,Fairness NOMA Sum rate,Fixed NOMA Pairs,NOMA Pairs,Baseline NOMA Pairs,Fairbess NOMA Pairs,Fixed NOMA Outage
0,269.49972790698763,415.8606520668237,432.80471816495503,323.9162664095462,251.6856265160156,4,13,14,7,23
1,189.81166213701152,312.3056018913344,319.52950157447356,269.97057942047184,138.1748382850999,6,13,13,10,17
2,235.7544331057195,316.6228479153986,316.6228479153986,247.19153919772444,224.80498879310318,2,10,10,6,22
3,156.94845341910133,319.7304524049449,321.95865908174045,228.4535972690528,168.42596790433186,5,15,16,6,25
4,251.0104928063579,317.1789766984798,317.1789766984798,251.01049280635786,251.0104928063579,0,6,6,0,26
5,174.3059994465488,322.10311873348996,322.10311873348996,200.50487159346363,165.87008875117635,3,11,11,7,21
6,218.45164193648043,336.7417101774282,338.19041939549396,315.07566792451934,187.9179920114797,4,11,11,6,21
7,197.93581808967676,327.73330922807577,327.73330922807577,249.3946227378876,241.35074497965738,3,9,9,5,21
8,150.5620489948497,324.7144691694747,324.74332436728264,184.63329514652722,148.119847386218,2,14,14,6,26
9,243.49567463385944,334.74343220396497,334.743432203965,338.81720148606075,177.1326644346866,3,10,10,4,23
10,188.87270366318,304.7233255671061,309.9488234304424,211.34273698107327,193.5560789788473,2,13,14,5,27
11,165.92235579760185,291.12145164062576,293.6349029936279,203.38464955041744,129.49570397229783,2,12,13,5,26
12,246.5269201272381,318.2826426429459,319.1249051704607,267.82462995510434,181.21386455071615,3,10,11,6,22
13,173.64867927813262,341.9693136669768,341.9693136669768,223.528991590591,195.7577253911528,4,15,15,7,24
14,218.16702154928828,311.51299117133357,311.51299117133357,273.6755833042857,191.48716210638867,4,10,10,5,21
15,187.48439414901122,279.5922668965798,279.5922668965798,286.6520846069648,170.83713856061127,2,11,11,6,23
16,259.4139970865171,361.1100475464904,361.1100475464904,334.8557624576927,203.49096407849365,2,8,8,3,23
17,218.39405817454485,335.27544714526096,335.5916165407025,233.6117689213506,191.59169164732606,2,11,10,5,23
18,265.9701972437978,358.1011214744676,358.1011214744676,265.9701972437978,258.68819557332154,0,8,8,1,27
19,163.47178534835405,315.30891078083926,315.4953286231675,202.29937220594832,141.86630437234453,4,13,13,10,19
20,217.1410805508091,320.2551639962502,320.2551639962502,316.83320888218356,157.28204385835943,3,10,10,6,21
21,217.1410805508091,320.2551639962502,320.2551639962502,316.83320888218356,157.28204385835943,3,10,10,6,21
22,188.6765490733702,315.6796100860262,315.6796100860262,284.13678217299974,174.81694657749344,4,10,10,5,21
23,218.8528332939398,332.4773986065531,332.4773986065531,224.92547813142804,183.85484727784046,2,9,9,4,23
24,217.48743831335312,355.16335519780677,355.16335519780677,238.5425008020596,208.38088662340374,2,12,12,1,29
25,215.55224090678178,311.70840659731715,311.70840659731715,271.94331439787834,188.20247174152817,3,10,10,7,20
26,205.26612112949744,313.0078230996838,313.759928189849,216.88120680207427,144.7917709464387,2,10,9,8,19
27,211.98636242748677,314.8049327761652,314.8049327761652,211.98636242748674,207.86339013386203,0,8,8,1,27
28,211.98636242748677,314.8049327761652,314.8049327761652,211.98636242748674,207.86339013386203,0,8,8,1,27
29,172.51677137342185,299.403242820489,299.6257178023794,182.99426982810206,115.52937982694516,1,11,11,7,23
30,157.12500161682695,325.19103200904203,329.71634214068024,230.6887380329013,162.39262657351406,5,15,15,7,22
31,207.45077829318262,356.2428973355612,358.5247216778805,352.08215209768304,206.5378574087918,6,12,13,9,18
32,176.57101970064375,326.94193511993365,329.6967496278769,261.53903368838485,213.48664307924201,4,12,13,8,21
33,243.78398944517767,337.26569434586753,337.26569434586753,274.9328931804602,206.4966308295841,2,10,10,3,25
34,207.7410271593978,344.41937180139854,345.3154915862699,259.425347218361,166.03554008003846,3,13,13,9,21
35,235.03020607237937,336.42234580647363,336.42234580647363,305.58038147065133,150.68889396896324,4,9,9,9,16
36,213.59105219440514,317.82207002100256,317.82207002100256,249.96433091101693,174.14641444772874,2,9,9,4,23
37,202.7720957985776,306.59596646752254,306.9007358654229,262.08994445853983,167.78230947732777,5,11,12,7,20
38,226.62949372117168,347.24742982850006,352.00101122756837,285.20084802176973,163.64973839772532,5,12,13,8,20
39,178.36839188734672,303.16507757566296,303.16507757566296,267.67163263253906,169.28126204159008,5,10,10,11,14
40,221.93452566499252,311.02597962490523,311.02597962490523,267.1301791322647,185.16129251498427,3,7,7,5,19
41,162.3090412692684,294.456494670712,294.456494670712,209.06877267485038,154.49167509457334,4,13,13,7,22
42,237.94410220509042,382.32471545536123,382.6992763462864,270.5313227367981,223.57930111686125,2,12,12,5,25
43,203.47399803618865,320.5424649347305,320.5424649347305,281.1397875478974,170.63186096354383,3,11,11,6,22
44,223.85737574226687,321.92362953735824,323.75492235091025,256.7538120864361,193.34343538560645,3,11,12,6,23
45,205.17856360894444,306.35226064313093,306.35226064313093,253.75152547207495,213.72908147810557,3,9,9,6,20
46,192.90149810350033,344.4123629731706,344.9893857377333,311.1585525304624,189.47933057323422,6,12,11,9,16
47,144.06205640533568,290.4761507222751,292.78289114783536,166.8509017775877,119.50957287407576,3,14,14,8,23
48,205.7825424357814,319.3537873336256,319.3537873336256,242.63684942418476,155.67095430233474,2,12,12,5,25
49,215.8125416156588,357.81086149047127,359.65087514984657,268.00644989988496,214.20207880822412,2,12,12,3,27
50,256.44939184253417,356.3155166248833,356.6201386383389,323.9512527578283,207.27915385968265,4,9,8,4,20
51,182.487818601527,314.21998105122157,314.21998105122157,189.5997062346101,168.44586893380512,2,11,11,5,24
52,192.98437840093487,323.2180223867733,324.3717670775212,269.18262701743095,175.1437463539659,5,13,14,8,21
53,164.7921217191548,283.89935760265854,287.1873342577121,210.20424230396512,156.99757500171108,4,14,16,6,26
54,202.30208022060174,311.03594796510225,312.2639457361519,224.70682250585313,148.46496346101745,2,11,11,5,24
55,189.53827105487605,324.21443206253093,324.3173927421211,211.48353010988293,97.6997786387219,3,12,12,7,22
56,183.38068094444841,307.2758283789342,307.2758283789342,220.9917722492532,189.65544317143505,3,12,12,6,23
57,167.00590314362358,309.8335716347557,309.8335716347557,190.79081496200916,190.05897366542752,4,12,12,6,22
58,220.94120785907234,344.14122837460013,344.7085492677618,254.8637364529335,211.8169451426229,2,12,11,5,24
59,229.0163954392711,321.85115966411263,321.85115966411263,290.74124957509144,212.55653406230851,2,12,12,3,27
60,175.56748846569553,307.70921023036954,310.0184171993506,253.1636341297029,150.56556015240426,4,15,15,4,27
61,233.1325308617238,319.82414294061937,319.82414294061937,233.33654119335768,192.13734867141875,1,9,9,2,26
62,208.4690718100789,301.2879268619558,301.2879268619558,240.93825481378855,180.14632906790922,1,9,9,2,26
63,206.69406674740077,321.7632901287808,321.7632901287808,288.54096547730046,121.95354663698548,4,9,9,7,18
64,214.67863914977954,287.382520487906,287.382520487906,224.28324791361206,164.41779277399232,3,8,8,8,17
65,199.55863729394713,299.64779297814493,299.64779297814493,253.4732421095411,152.9038638588392,4,9,9,3,22
66,188.85177589936563,329.94120074194643,330.2135391495765,231.41073395309058,162.79021690724574,3,14,14,5,26
67,155.55304336637636,314.0732717720298,314.3791194627236,205.69294736908128,139.09025702518872,3,13,14,5,26
68,171.4785287951482,292.5161231237764,292.5161231237764,186.34568271468217,145.5455790875324,1,12,12,2,29
69,213.62946905088887,297.4574908984664,298.1903711145544,284.0400531419639,214.54484335914105,5,9,9,5,19
70,229.9025100696756,314.15998683862625,314.15998683862625,264.8154858684976,201.39824658655272,1,10,10,3,26
71,159.61539659349563,299.9639653991361,304.9644727416561,209.5813953896289,145.78871684334717,4,14,14,6,24
72,203.97877400828895,303.4531383579606,303.4531383579606,224.493327545707,181.2205845142159,3,8,8,5,20
73,210.2097081039139,284.37137227030234,284.37137227030234,289.79130412384353,175.18218219091682,3,8,8,6,19
74,181.43537147309218,303.0424837444971,304.5770183980731,222.3532790809668,137.5121330222134,3,12,13,6,24
75,197.8662373694886,307.53934340579895,309.698143702624,244.07963133953547,150.16953504962294,4,13,13,9,20
76,179.9078645580176,341.7294885617356,346.66999280126913,275.47386972439523,164.48689890753002,7,14,14,9,18
77,173.26726456278797,317.10716531364636,317.10716531364636,264.39865968094153,202.8846329444151,6,11,11,11,14
78,165.5983314399046,306.1694211920836,306.7439021207322,226.75312546872956,138.4449772430506,5,13,13,7,21
79,165.5983314399046,306.1694211920836,306.7439021207322,226.75312546872956,138.4449772430506,5,13,13,7,21
80,181.2004983015563,272.2604847723135,272.58118317189604,236.30916564810784,181.83679300456683,3,12,12,6,23
81,171.78886157499156,308.14760938321785,310.1305373698428,233.60438499480694,172.58465110652253,4,12,13,5,24
82,171.78886157499156,308.14760938321785,310.1305373698428,233.60438499480694,172.58465110652253,4,12,13,5,24
83,248.9759215899457,342.05301851681236,345.0007359902223,299.662631804571,214.21747957626116,3,10,10,4,23
84,217.52981337897816,330.0586497170192,330.0586497170192,226.68590674613637,178.30470453307402,2,12,12,5,25
85,217.52981337897816,330.0586497170192,330.0586497170192,226.68590674613637,178.30470453307402,2,12,12,5,25
86,230.47082311566075,352.8672362049026,352.8672362049026,230.47082311566078,187.01406160842745,0,12,12,4,28
87,230.47082311566075,352.8672362049026,352.8672362049026,230.47082311566078,187.01406160842745,0,12,12,4,28
88,230.55300554989935,338.1298814602037,338.1298814602037,230.07688174953446,203.194399732846,1,9,9,5,23
89,230.55300554989935,338.1298814602037,338.1298814602037,230.07688174953446,203.194399732846,1,9,9,5,23
90,206.04598744460677,318.4690722308436,318.4690722308436,251.86478010829458,164.28324054461766,2,10,10,5,23
91,217.44572561544854,331.42774990487214,333.6255782175697,320.4896234740078,143.88283499546222,5,11,11,9,17
92,217.44572561544854,331.42774990487214,333.6255782175697,320.4896234740078,143.88283499546222,5,11,11,9,17
93,209.9172288978818,349.91664527738067,351.61563341555416,240.25247515815474,200.09248443731317,2,13,13,3,28
94,151.56242921229136,343.02546494955163,352.5044133633313,222.466055941914,136.55609145091893,6,15,16,7,23
95,219.07276426803344,315.10712835206084,315.10712835206084,265.665761353924,177.76826869794053,2,8,8,6,20
96,187.3124801878009,298.7514480860359,298.7514480860359,187.6760228677036,153.96820114618492,1,12,12,4,27
97,187.3124801878009,298.7514480860359,298.7514480860359,187.6760228677036,153.96820114618492,1,12,12,4,27
98,160.8523305495802,327.03659976448614,329.88022315024074,228.8025939240931,112.21424311202856,3,14,15,8,24
99,160.8523305495802,327.03659976448614,329.88022315024074,228.8025939240931,112.21424311202856,3,14,15,8,24
100,206.38830211557894,328.37728292984434,330.2637227855243,251.78675216414473,200.2314349966215,2,12,13,4,27
101,212.1674807871549,315.150581796088,316.6291890994697,246.10455312420925,197.95945253666338,2,12,11,4,25
102,212.1674807871549,315.150581796088,316.6291890994697,246.10455312420925,197.95945253666338,2,12,11,4,25
103,212.1674807871549,315.150581796088,316.6291890994697,246.10455312420925,197.95945253666338,2,12,11,4,25
104,223.26602149085375,317.2773024475402,317.6992055781395,269.2588201140998,173.2777761266904,4,9,10,7,19
105,223.26602149085375,317.2773024475402,317.6992055781395,269.2588201140998,173.2777761266904,4,9,10,7,19
106,254.7650094880369,341.82664968895864,342.4488652442387,283.23893389528234,209.44183132308032,4,8,9,8,17
107,219.55124383613384,332.2843136533538,332.2843136533538,226.55075901226996,192.0869485336767,1,9,9,4,24
108,212.2348864652261,333.53558108878144,334.16424699155596,283.98838254718606,118.12271955124265,4,13,13,8,21
109,212.2348864652261,333.53558108878144,334.16424699155596,283.98838254718606,118.12271955124265,4,13,13,8,21
110,212.7389201190059,349.6838813860499,350.355284423831,252.28984816449503,185.5717802187129,2,13,12,6,24
111,149.31103656735564,305.17935567648954,306.4459539711339,194.88329914847225,167.9794691472857,3,12,12,6,23
112,149.31103656735564,305.17935567648954,306.4459539711339,194.88329914847225,167.9794691472857,3,12,12,6,23
113,116.8935939145936,279.09523384842333,282.2936015959102,236.36040170798645,129.7490931010983,6,15,15,7,22
114,168.92779758542116,333.6639721244101,339.05077716532696,174.36320683206708,156.14252200983907,1,14,14,8,25
115,168.92779758542116,333.6639721244101,339.05077716532696,174.36320683206708,156.14252200983907,1,14,14,8,25
116,235.17072913652635,307.9382370642528,307.9382370642528,309.3085249555545,168.05211655351664,2,9,9,4,23
117,235.17072913652635,307.9382370642528,307.9382370642528,309.3085249555545,168.05211655351664,2,9,9,4,23
118,235.17072913652635,307.9382370642528,307.9382370642528,309.3085249555545,168.05211655351664,2,9,9,4,23
119,203.37363998992655,283.7255270906397,283.7255270906397,278.1537157342667,119.67563343271046,2,9,9,7,20
120,203.37363998992655,283.7255270906397,283.7255270906397,278.1537157342667,119.67563343271046,2,9,9,7,20
121,203.37363998992655,283.7255270906397,283.7255270906397,278.1537157342667,119.67563343271046,2,9,9,7,20
122,203.37363998992655,283.7255270906397,283.7255270906397,278.1537157342667,119.67563343271046,2,9,9,7,20
123,203.37363998992655,283.7255270906397,283.7255270906397,278.1537157342667,119.67563343271046,2,9,9,7,20
124,213.86712680508282,322.334005663429,322.334005663429,307.26223086797665,231.5908434742983,3,12,12,8,21
125,213.86712680508282,322.334005663429,322.334005663429,307.26223086797665,231.5908434742983,3,12,12,8,21
126,213.86712680508282,322.334005663429,322.334005663429,307.26223086797665,231.5908434742983,3,12,12,8,21
127,227.05988972532757,303.6887740022293,303.6887740022293,279.62387141346926,139.23006649140694,3,9,9,7,19
128,227.05988972532757,303.6887740022293,303.6887740022293,279.62387141346926,139.23006649140694,3,9,9,7,19
129,227.05988972532757,303.6887740022293,303.6887740022293,279.62387141346926,139.23006649140694,3,9,9,7,19
130,163.68857418598685,273.0179179540014,273.0179179540014,178.72765682140724,144.5052993725618,2,11,11,4,25
131,198.69279146366802,302.30420806384245,302.30420806384245,283.7624049599278,155.4636562483212,3,11,11,3,25
132,224.4140518011869,308.44259139726626,308.44259139726626,260.2639797304164,175.99533089414552,2,8,8,5,21
133,224.4140518011869,308.44259139726626,308.44259139726626,260.2639797304164,175.99533089414552,2,8,8,5,21
134,216.47032737582876,314.8964866303536,316.9734429585076,241.9167498927943,176.17049923927596,4,10,11,8,19
135,216.47032737582876,314.8964866303536,316.9734429585076,241.9167498927943,176.17049923927596,4,10,11,8,19
136,216.47032737582876,314.8964866303536,316.9734429585076,241.9167498927943,176.17049923927596,4,10,11,8,19
137,211.39303208418565,345.73183845314367,345.73183845314367,294.1235769631561,157.85986589312927,4,11,11,5,22
138,218.61778596410892,337.1375791818156,338.12941728027863,253.8799642763275,192.32223252053825,3,9,10,5,22
139,218.61778596410892,337.1375791818156,338.12941728027863,253.8799642763275,192.32223252053825,3,9,10,5,22
140,218.61778596410892,337.1375791818156,338.12941728027863,253.8799642763275,192.32223252053825,3,9,10,5,22
141,181.39872988067788,322.5725995625111,322.5725995625111,201.46783015692955,145.75124798758335,3,11,11,6,22
142,181.39872988067788,322.5725995625111,322.5725995625111,201.46783015692955,145.75124798758335,3,11,11,6,22
143,181.39872988067788,322.5725995625111,322.5725995625111,201.46783015692955,145.75124798758335,3,11,11,6,22
144,203.16584615870255,321.48540997464806,321.48540997464806,247.50768404589917,217.87987036590056,4,10,10,7,19
145,203.16584615870255,321.48540997464806,321.48540997464806,247.50768404589917,217.87987036590056,4,10,10,7,19
146,198.25119240334212,296.25990743543684,296.25990743543684,299.8017323050995,184.69600159733812,6,10,10,12,12
147,198.25119240334212,296.25990743543684,296.25990743543684,299.8017323050995,184.69600159733812,6,10,10,12,12
148,223.49813436805826,349.44857900223826,349.44857900223826,309.07424045734126,185.58022298211267,4,11,11,7,20
149,241.004856389039,340.5931053381555,340.6186204100021,289.0494424378369,205.24657920783835,4,9,10,9,17
150,241.004856389039,340.5931053381555,340.6186204100021,289.0494424378369,205.24657920783835,4,9,10,9,17
151,180.5587617211924,326.94098884892946,326.94098884892946,196.4595418677849,176.923177972397,2,13,13,8,23
152,180.5587617211924,326.94098884892946,326.94098884892946,196.4595418677849,176.923177972397,2,13,13,8,23
153,180.5587617211924,326.94098884892946,326.94098884892946,196.4595418677849,176.923177972397,2,13,13,8,23
154,207.55427234259605,304.31295841420575,304.31295841420575,285.3443806595832,184.47656652648914,3,10,10,5,22
155,207.55427234259605,304.31295841420575,304.31295841420575,285.3443806595832,184.47656652648914,3,10,10,5,22
156,207.55427234259605,304.31295841420575,304.31295841420575,285.3443806595832,184.47656652648914,3,10,10,5,22
157,197.45697063881903,286.6955115052135,287.4804448273658,293.8235719380477,128.22009634434278,3,10,11,6,22
158,197.45697063881903,286.6955115052135,287.4804448273658,293.8235719380477,128.22009634434278,3,10,11,6,22
159,197.45697063881903,286.6955115052135,287.4804448273658,293.8235719380477,128.22009634434278,3,10,11,6,22
160,197.45697063881903,286.6955115052135,287.4804448273658,293.8235719380477,128.22009634434278,3,10,11,6,22
161,197.45697063881903,286.6955115052135,287.4804448273658,293.8235719380477,128.22009634434278,3,10,11,6,22
162,188.99412967029545,291.4348817096429,291.4348817096429,298.11752531736613,169.96559925563136,3,11,11,7,21
163,188.99412967029545,291.4348817096429,291.4348817096429,298.11752531736613,169.96559925563136,3,11,11,7,21
164,188.99412967029545,291.4348817096429,291.4348817096429,298.11752531736613,169.96559925563136,3,11,11,7,21
165,217.4560131124137,347.2414031302393,347.81942695496184,315.197889449707,122.9123552184982,4,13,12,9,19
166,217.4560131124137,347.2414031302393,347.81942695496184,315.197889449707,122.9123552184982,4,13,12,9,19
167,217.4560131124137,347.2414031302393,347.81942695496184,315.197889449707,122.9123552184982,4,13,12,9,19
168,267.428173237384,370.4853578979189,370.4853578979189,310.397178098702,205.76874071976084,1,10,10,6,23
169,196.93164813224632,319.6503924274688,319.6503924274688,245.8163741073632,146.54008536617732,2,13,13,5,25
170,196.93164813224632,319.6503924274688,319.6503924274688,245.8163741073632,146.54008536617732,2,13,13,5,25
171,217.47223121301673,360.3044188074417,361.4403118825745,273.2839255945889,207.36975218347126,2,11,11,3,26
172,217.47223121301673,360.3044188074417,361.4403118825745,273.2839255945889,207.36975218347126,2,11,11,3,26
173,217.47223121301673,360.3044188074417,361.4403118825745,273.2839255945889,207.36975218347126,2,11,11,3,26
174,203.6353324434093,323.26190873553696,324.9871747712241,248.88479752240727,166.33773575375366,3,11,11,6,22
